Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
3915,"Sweet French SFBJ “Bleuette"".",http://auctions.morphyauctions.com/Sweet_French_SFBJ__Bleuette_______________________-LOT78913.aspx,https://auctions.morphyauctions.com/ItemImages/000078/78913a_sm.jpeg,2,200,1440,800,1000,78913a_
93,Lot of 3: Small Unusual Parian Dolls.,http://auctions.morphyauctions.com/Lot_of_3__Small_Unusual_Parian_Dolls_-LOT449379.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190789_1_sm.jpeg,19,400,1440,800,1200,18190789_
1767,Lot of 3: Wigged Bathing Beauties.,http://auctions.morphyauctions.com/Lot_of_3__Wigged_Bathing_Beauties_________________-LOT189899.aspx,https://auctions.morphyauctions.com/ItemImages/000189/189899a_sm.jpeg,1,300,1440,1200,1500,189899a_
1770,Lot of 3: Wigged Bathing Beauties.,http://auctions.morphyauctions.com/Lot_of_3__Wigged_Bathing_Beauties_________________-LOT189902.aspx,https://auctions.morphyauctions.com/ItemImages/000189/189902a_sm.jpeg,1,375,1440,1500,2000,189902a_
3441,Early Kestner Child Doll.,http://auctions.morphyauctions.com/Early_Kestner_Child_Doll__________________________-LOT87461.aspx,https://auctions.morphyauctions.com/ItemImages/000087/87461a_sm.jpeg,2,225,1440,900,1200,87461a_
882,S & H 749 Bébé Doll.,http://auctions.morphyauctions.com/S___H_749_B_b__Doll_______________________________-LOT237907.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240600_1_sm.jpeg,23,300,1440,1200,1800,16240600_
806,Early German Child Doll.,http://auctions.morphyauctions.com/Early_German_Child_Doll___________________________-LOT237796.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240528_1_sm.jpeg,19,375,1440,1500,2500,16240528_
804,Early Pouty Kestner Doll.,http://auctions.morphyauctions.com/Early_Pouty_Kestner_Doll__________________________-LOT237789.aspx,https://auctions.morphyauctions.com/ItemImages/000237/16240522_1_sm.jpeg,19,375,1440,1500,2500,16240522_
134,"18"" K*R 117 Character Child Doll.",http://auctions.morphyauctions.com/18__K_R_117_Character_Child_Doll_-LOT448863.aspx,https://auctions.morphyauctions.com/ItemImages/000448/18190663_1_sm.jpeg,15,500,1440,1000,2000,18190663_
267,"French Bebe ""Eden Bebe"".",http://auctions.morphyauctions.com/French_Bebe__Eden_Bebe__-LOT286870.aspx,https://auctions.morphyauctions.com/ItemImages/000286/18070590_1_sm.jpeg,15,500,1440,1000,1500,18070590_
542,Steiner Waltzing Fashion Doll.,http://auctions.morphyauctions.com/Steiner_Waltzing_Fashion_Doll_-LOT249370.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16321002_1_sm.jpeg,21,350,1464,1400,1900,16321002_
1308,Rabery – Delphieu Closed Mouth Bebe,http://auctions.morphyauctions.com/Rabery___Delphieu_Closed_Mouth_Bebe_______________-LOT212977.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212977a_sm.jpeg,,312,1464,1250,1750,212977a_
1697,Lovely Continental Crèche Doll.,http://auctions.morphyauctions.com/Lovely_Continental_Cr_che_Doll____________________-LOT182587.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182587a_sm.jpeg,1,125,1464,500,1000,182587a_
556,Lot of 4: Wooden & Wax Creche Related Pieces.,http://auctions.morphyauctions.com/Lot_of_4__Wooden___Wax_Creche_Related_Pieces_-LOT249339.aspx,https://auctions.morphyauctions.com/ItemImages/000249/16320971_1_sm.jpeg,10,150,1464,600,800,16320971_
1339,Fre A Steiner Bebe,http://auctions.morphyauctions.com/Fre_A_Steiner_Bebe________________________________-LOT212915.aspx,https://auctions.morphyauctions.com/ItemImages/000212/212915a_sm.jpeg,,250,1464,1000,1500,212915a_
1663,French Mignonette Parians & All Bisque,http://auctions.morphyauctions.com/French_Mignonette__Parians___All_Bisque___________-LOT203738.aspx,https://auctions.morphyauctions.com/ItemImages/000203/203738a_sm.jpeg,2,200,1464,800,1200,203738a_
