Unnamed: 0,Doll_name,Link,Picture_link,Number_of_bids,Minimum_bid,Final_price,Estimated_price_range_min,Estimated_price_range_max,final_tags
254,Lovely German Fashion Doll with Extra Clothes.,http://auctions.morphyauctions.com/Lovely_German_Fashion_Doll_with_Extra_Clothes_-LOT287490.aspx,https://auctions.morphyauctions.com/ItemImages/000287/18070759_1_sm.jpeg,8,600,1080,1200,1800,18070759_
1822,Lot Of 3: French-type Mignonnettes.,http://auctions.morphyauctions.com/Lot_Of_3__French_type_Mignonnettes________________-LOT184261.aspx,https://auctions.morphyauctions.com/ItemImages/000184/184261a_sm.jpeg,2,187,1080,750,1000,184261a_
1362,John Wright Paddington Bear in Box.,http://auctions.morphyauctions.com/John_Wright_Paddington_Bear_in_Box________________-LOT213248.aspx,https://auctions.morphyauctions.com/ItemImages/000213/213248a_sm.jpeg,,0,1080,,,213248a_
6,Cabinet sized S&H 989 Closed Mouth Child.,http://auctions.morphyauctions.com/Cabinet_sized_S_H_989_Closed_Mouth_Child_-LOT450026.aspx,https://auctions.morphyauctions.com/ItemImages/000450/18190932_1_sm.jpeg,9,300,1088,600,900,18190932_
4287,Simon & Halbig 1329 Oriental Lady.,http://auctions.morphyauctions.com/Simon___Halbig_1329_Oriental_Lady_________________-LOT26114.aspx,https://auctions.morphyauctions.com/ItemImages/000026/26114a_sm.jpeg,4,175,1092.5,700,800,26114a_
1895,Large W.C. Fields Handmade Marionette.,http://auctions.morphyauctions.com/Large_W_C__Fields_Handmade_Marionette_____________-LOT176250.aspx,https://auctions.morphyauctions.com/ItemImages/000176/176250a_sm.jpeg,1,250,1098,1000,1500,176250a_
1366,Lot of 3: John Wright Dolls.,http://auctions.morphyauctions.com/Lot_of_3__John_Wright_Dolls_______________________-LOT213292.aspx,https://auctions.morphyauctions.com/ItemImages/000213/213292a_sm.jpeg,,0,1098,,,213292a_
1746,R. John Wright “Pinocchio” Doll.,http://auctions.morphyauctions.com/R__John_Wright__Pinocchio__Doll___________________-LOT182833.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182833a_sm.jpeg,2,100,1098,400,600,182833a_
1849,Stunning Jumeau Poupée Doll.,http://auctions.morphyauctions.com/Stunning_Jumeau_Poup_e_Doll_______________________-LOT182927.aspx,https://auctions.morphyauctions.com/ItemImages/000182/182927a_sm.jpeg,1,375,1098,1500,2500,182927a_
3309,Pouty K & R Character Doll.,http://auctions.morphyauctions.com/Pouty_K___R_Character_Doll________________________-LOT92440.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92440a_sm.jpeg,3,450,1100,1800,2800,92440a_
4065,Simon & Halbig 1159 Lady.,http://auctions.morphyauctions.com/Simon___Halbig_1159_Lady__________________________-LOT31916.aspx,https://auctions.morphyauctions.com/ItemImages/000031/31916a_sm.jpeg,2,400,1100,1600,1800,31916a_
83,Lot Of 4: German All Bisque Child Dolls.,http://auctions.morphyauctions.com/Lot_Of_4__German_All_Bisque_Child_Dolls__-LOT450802.aspx,https://auctions.morphyauctions.com/ItemImages/000450/18191090_1_sm.jpeg,17,350,1107,700,900,18191090_
116,Lot of 2: Large Fully Articulated Wooden Figures.,http://auctions.morphyauctions.com/Lot_of_2__Large_Fully_Articulated_Wooden_Figures_-LOT449476.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190858_1_sm.jpeg,11,250,1107,500,700,18190858_
76,"""Very Attractive 16"""" Unmarked French Fashion Doll.""",http://auctions.morphyauctions.com/Very_Attractive_16__Unmarked_French_Fashion_Doll_-LOT449357.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190768_1_sm.jpeg,14,400,1107,800,1200,18190768_
979,French SFBJ Googly.,http://auctions.morphyauctions.com/French_SFBJ_Googly________________________________-LOT236699.aspx,https://auctions.morphyauctions.com/ItemImages/000236/16240428_1_sm.jpeg,20,300,1107,1200,1800,16240428_
3807,Delightful Kestner 260 Character Child.,http://auctions.morphyauctions.com/Delightful_Kestner_260_Character_Child____________-LOT80879.aspx,https://auctions.morphyauctions.com/ItemImages/000080/80879a_sm.jpeg,4,75,1121,300,500,80879a_
3410,Charming Chase Cloth Doll.,http://auctions.morphyauctions.com/Charming_Chase_Cloth_Doll_________________________-LOT92460.aspx,https://auctions.morphyauctions.com/ItemImages/000092/92460a_sm.jpeg,3,150,1121,600,800,92460a_
108,Large Gauthier French Fashion Doll with Additional Clothes.,http://auctions.morphyauctions.com/Large_Gauthier_French_Fashion_Doll_with_Additional-LOT449445.aspx,https://auctions.morphyauctions.com/ItemImages/000449/18190830_1_sm.jpeg,3,500,1125,1000,1500,18190830_
1620,F.G. Poupée Fashion Doll.,http://auctions.morphyauctions.com/F_G__Poup_e_Fashion_Doll__________________________-LOT199357.aspx,https://auctions.morphyauctions.com/ItemImages/000199/199357a_sm.jpeg,1,375,1140,1500,2500,199357a_
